Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS4 5,3832.389442927688,E01014536,BS4 5LR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS4 5,3832.389442927688,E01014526,BS4 5RG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 0,8792.070558781625,E01014653,BS5 0RD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 0,8792.070558781625,E01014655,BS5 0UN,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 0,8792.070558781625,E01014654,BS5 0SQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 0,8792.070558781625,E01014655,BS5 0JG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014570,BS5 6HL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014573,BS5 6RQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014570,BS5 6BX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014575,BS5 6RA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014569,BS5 6SH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014665,BS5 6TH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014574,BS5 6SB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014569,BS5 6HE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014575,BS5 6PX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014573,BS5 6RB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014574,BS5 6SD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014569,BS5 6SE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014569,BS5 6HB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014574,BS5 6PF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 6,13254.979073007045,E01014575,BS5 6LW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014683,BS5 7HT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014626,BS5 7XP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014570,BS5 7DR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014687,BS5 7NB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014687,BS5 7PG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 7,10980.283476076469,E01014570,BS5 7EE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8FB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8FG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014682,BS5 8HJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014683,BS5 8JP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014679,BS5 8RE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8EE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8AQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014682,BS5 8HF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014679,BS5 8PQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014679,BS5 8NT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8HB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014684,BS5 8ER,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014678,BS5 8NS,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 8,9640.8075542765,E01014682,BS5 8HT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014566,BS5 9FH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014566,BS5 9HL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014567,BS5 9JJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014566,BS5 9HH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014567,BS5 9JY,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS5 9,9968.637246849165,E01014681,BS5 9HX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
